"I have carefully read the information above, promise to fill out the questionnaire earnestly, and agree to participate.",Your Prolific ID:,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 1,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 2,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 3,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 4,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 5,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 6,"Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 1","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 2","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 3","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 4","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 5","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 6","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 1","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 2","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 3","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 4","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 5","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 6","Do you think the common semantic space shown by each set of images below is pure? (Pure: means without mixing in unrelated features, e.g., in the eye feature space, there are no mixtures of ears, noses, or legs.) - Figure 1","Do you think the common semantic space shown by each set of images below is pure? (Pure: means without mixing in unrelated features, e.g., in the eye feature space, there are no mixtures of ears, noses, or legs.) - Figure 2",How much do you know about the AI ?,Your suggestion for this questionnaire:,填答時間,填答秒數,IP紀錄,額滿結束註記,使用者紀錄,會員時間,Hash,會員編號,自訂ID,備註
"Yes, I promise.",001,0,0,0,0,1,1,2,3,4,7,8,9,-3,-3,-2,2,2,4,1,3,Strong knowledge,,2024-02-23 11:27:41,127,2610:150:c009:2:225:90ff:fe26:eb70,,,,8bd417a2f4f07faf2d07bb104f6bcd36,',,
"Yes, I promise.",656f97b81b51c257c08d6e51,0,0,0,0,1,1,1,4,4,3,5,7,-3,1,2,-2,3,3,1,2,Weak knowledge,,2024-02-23 13:33:37,92,2603:8081:2101:4e81:85ad:8363:ba0c:d79f,,,,4bb8a220166070bfc24ce35ae945a120,',,
"Yes, I promise.",637fbedd06b96e980ee37a6d,1,1,0,0,1,1,1,4,3,5,6,3,1,4,3,4,2,2,1,0,Moderate knowledge,The questionnaire was brief and easy to comprehend,2024-02-23 15:28:25,621,216.120.189.28,,,,8d42f1719b1fad750a741fd6a20bdf5c,',,
"Yes, I promise.",5eb84ddb1aa1b479b631a1fb,0,0,0,0,1,1,3,6,5,4,2,8,1,-2,2,-2,-3,4,1,3,Moderate knowledge,,2024-02-23 16:30:10,105,92.40.192.162,,,,0608ee4f104bbe84daf0d0f3a93b73de,',,
"Yes, I promise.",5fbb9d170045d6d085a9bbbf,1,0,0,0,0,0,2,5,1,8,6,7,-4,1,-2,2,2,2,1,1,Strong knowledge,,2024-02-23 20:24:07,273,102.132.255.161,,,,e42ece9d013d5db20d219d731fc9837a,',,
"Yes, I promise.",611b5e9de677ddee915269ac,0,0,0,0,0,0,1,2,4,3,1,1,-2,-5,-1,-4,-2,-1,0,1,Strong knowledge,N/A,2024-02-23 20:24:38,206,41.10.233.202,,,,e19b54aa64f356f604cc9260770a3964,',,
"Yes, I promise.",5e7bac586690421ca2609164,1,0,0,1,0,1,1,6,5,9,4,6,-4,1,-1,4,1,-2,0,0,Moderate knowledge,,2024-02-23 20:25:41,192,213.134.174.93,,,,7eac1657f9cc4b18fef48e6001e26dfa,',,
"Yes, I promise.",614b23f447bd48a3801fbf95,1,0,0,1,1,1,8,5,2,5,7,6,-4,-4,-2,1,-4,-4,0,0,Moderate knowledge,,2024-02-23 20:26:39,103,188.147.100.139,,,,9ae79b838cbca15faad74ff2643689b9,',,
"Yes, I promise.",5c790eec719aaf00179ffc1b,0,0,1,0,0,1,3,6,6,9,6,7,-1,2,2,3,1,2,2,2,Weak knowledge,,2024-02-23 20:26:59,233,86.90.73.237,,,,551b27f8ae7cc0c04afe6000a6bcab3f,',,
"Yes, I promise.",5e306dbd001ff8069617732a,0,1,0,1,1,1,1,4,3,6,6,7,-3,2,-3,2,3,3,1,1,Moderate knowledge,,2024-02-23 20:27:14,204,92.37.74.230,,,,a577430f3172913defea3b4174ec7ad6,',,
"Yes, I promise.",615c64341e181bd34831e9d1,0,1,0,0,1,0,4,5,6,6,5,4,3,3,4,4,3,3,2,3,Strong knowledge,Nice questionnaire. keep them coming,2024-02-23 20:31:41,541,41.242.161.35,,,,67326c581072360a10b7e90c621e47c4,',,
"Yes, I promise.",5f49fd29edde0c564e9f83c6,0,0,0,0,1,1,1,3,2,1,5,5,-3,2,-4,-5,2,3,2,1,Strong knowledge,None,2024-02-23 20:32:07,507,165.16.191.57,,,,affb455fa423c527da3ff3ada86fd859,',,
"Yes, I promise.",611e5ed10d7a62ceb0f1a619,0,0,0,0,0,1,4,4,2,5,4,5,-2,-2,-4,-2,-3,1,1,2,Moderate knowledge,,2024-02-23 20:32:16,321,41.198.147.201,,,,a235983fc12db210cd08a69407be67ee,',,
"Yes, I promise.",5efb4b33c7a6250848455390,1,0,0,0,1,1,1,5,4,6,5,6,2,2,-2,1,1,2,1,1,Weak knowledge,images with text should be slightly bigger,2024-02-23 20:32:43,278,193.225.200.92,,,,9b4067bc5524de8a0dbcb930297b6e5f,',,
"Yes, I promise.",615e09b45124daba0eeb3e6b,0,0,0,0,1,1,1,7,3,2,9,10,-3,1,1,-2,3,5,2,3,Weak knowledge,,2024-02-23 20:33:21,241,41.121.120.57,,,,0e928328370da5ce5cb948eacc963654,',,
"Yes, I promise.",5d0d3c6c9193b80019e7f639,1,1,0,1,0,0,1,2,4,6,3,3,-4,1,-1,2,-3,-4,0,1,Moderate knowledge,,2024-02-23 20:35:17,135,89.64.150.236,,,,d8c46670ccb36f90a67fec5ce3eb57ea,',,
"Yes, I promise.",6163d356472f53c054893857,0,0,1,1,1,1,1,1,2,3,4,6,-5,2,1,2,1,4,0,0,Moderate knowledge,,2024-02-23 20:37:48,740,41.216.203.19,,,,519402dd242d743030dfb3cbb4ed5aca,',,
"Yes, I promise.",611d289bb00d800e89ad1698,0,0,0,1,0,1,1,3,5,2,2,3,-3,-1,1,-2,-1,2,1,2,Moderate knowledge,,2024-02-23 20:37:57,260,156.155.115.22,,,,883a51fcf86faf21e4aff95390799ac6,',,
"Yes, I promise.",6489a99c65564c916995612d,1,0,0,0,1,1,3,6,3,6,4,8,-3,2,-3,2,3,4,2,3,Moderate knowledge,"I could give a couple of examples or, at the beginning, a brief explanation of what we are looking at. I know because I work in the field of computer science. However, it is not necessary that everyone knows the methods of ""computer vision"".",2024-02-23 20:38:45,264,2001:1470:fffd:10c3:c568:48d7:9d02:f18,,,,f63a263718cd7d1119957ae1dd9a3979,',,
"Yes, I promise.",60f86773e1cc7868421ee9d8,1,0,0,0,0,0,1,5,4,6,4,6,-5,-1,-1,-1,3,4,1,1,Moderate knowledge,,2024-02-23 20:40:02,691,41.150.222.52,,,,52d8a678ee7682e50601747083130136,',,
"Yes, I promise.",60ca6cf4fb84a3c8c377b3ae,0,0,0,0,0,0,1,2,1,2,1,2,-5,-3,-1,3,-2,-3,0,1,Strong knowledge,None for now.,2024-02-23 20:40:07,499,105.245.104.249,,,,9ec17e0f040f9ddcafc2bc90d9d3bc08,',,
"Yes, I promise.",616496e4477129c8dc8b7146,0,0,0,0,1,1,2,7,5,8,9,10,1,3,3,4,4,5,2,3,Moderate knowledge,,2024-02-23 20:46:30,109,197.90.116.147,,,,f0e83cec892f867c83fd9478137109e2,',,
"Yes, I promise.",6129091a4488538bc7654940,1,0,0,0,1,1,3,5,6,9,8,6,-4,4,2,5,2,3,1,2,Moderate knowledge,"The questionnaire was fair and straightforward, i would not have anything on it changed.",2024-02-23 20:49:27,299,154.114.16.28,,,,b5d2c06a41d98225f46a877dba06fd79,',,
"Yes, I promise.",CIEJ3S8S,0,1,1,1,0,1,2,6,5,8,4,5,-3,1,-2,2,-1,2,2,3,Strong knowledge,,2024-02-23 20:51:17,118,94.175.62.120,,,,7d88b94f28674c1cfd81fb064daf6bab,',,
